id	name	popularity	genres	num_followers	monthly_listeners
7swQwXZqZ0MQmy6hZngZAP	Savage Mansion	10	['glasgow indie']	563	1911
1WPcVNert9hn7mHsPKDn7j	Édith Piaf	64	['chanson', 'torch song', 'vintage schlager']	755759	2140819
1Q30Up3KFXXsjwKw9EXrlp	Seán Ó Riada	19	['irish classical', 'irish folk', 'jig and reel']	1373	6552
2dazU1L3zOpHEjW9OB2myo	Rewildz	30	[]	487	22788
6MYRV74tUjBf9X4PwTRykW	The Yawpers	28	['deep new americana']	7728	24904
0NZtn1Kyq08alpHCTRf3dv	Tony Kakkar	66	['desi pop', 'modern bollywood']	1834458	3008041
3Uh1hwQUVJLK5Srk4PosCK	Alexandria Maillot	16	['vancouver indie']	1169	3914
5bGWQ9mEBYAo0GYymwj2QV	Gold Spectacles	28	['uk alternative pop']	2261	24650
6r14qqaIQA7lLEezQkQ8Hm	SaraCortez	24	[]	442	10168
5nBrvb1brhyZFKTuC2GIAo	Orchestre National De Lyon	46	['french orchestra', 'orchestra']	1899	266441
6GWva610KgBIXJohqHjwGr	Ensemble Intégrales	2	['modern performance']	49	346
1HwM5zlC5qNWhJtM00yXzG	DMX	72	['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']	2295040	6239955
357dDcxIE2hkKGn03PClIF	YNG Martyr	62	['meme rap', 'sad rap']	23424	1381491
0D00AEI0IWmoBtdIH75zXs	Dolly Style	49	['swedish pop']	75165	204044
6diP7aANttBUIeaViyCdQj	Emlyn Williams	2	[]	42	514
5oERdzrfb6kmNMzPNINZib	Martin O'Donnell	61	['scorecore', 'video game music']	69947	669887
2pvCf5g7XBReiPIvcq7W18	SAAY	48	['korean pop', 'korean r&b']	62723	188026
5DCdWXQ0QHQYlok4KK97em	GuiltyBeatz	45	['ghanaian pop', 'nigerian pop']	6179	231952
0701Axu6yvUIoctaKMbDIZ	Freda Payne	40	['classic soul', 'motown']	11583	154100
3qfrrrSO7utFdJkM2tvMRb	CeCe Winans	52	['gospel']	227281	368847
3VEzgR55OpqT9SyPeOwrQ4	Marcus James	40	['canadian electronic']	1292	121193
3QLPy7F0m9XgChp2Lk9B3N	Lucy Spraggan	54	['talent show']	110505	494449
5VjxZ6Ik0cmnVlXZ3in6nw	Floyd Lavine	35	['afro house']	4554	74971
16GJH7ZlDVulpvX4jJrnfY	Elle Mariachi	30	['hardstyle']	61	33006
0MoXIHcFwhIWnFgBfdvQ30	Little Boots	49	['alternative dance', 'dance pop', 'electroclash', 'electropop', 'neo-synthpop', 'new rave', 'pop dance']	106391	126393
7swQwXZqZ0MQmy6hZngZAP	Savage Mansion	10	['glasgow indie']	563	1911
1WPcVNert9hn7mHsPKDn7j	Édith Piaf	64	['chanson', 'torch song', 'vintage schlager']	755759	2140819
